"Date","Price","Open","High","Low","Vol.","Change %"
"06/17/2024","355,496","355,496","355,496","355,496","12.73M","-0.30%"
"06/14/2024","356,571","356,571","356,571","356,571","19.36M","-0.04%"
"06/13/2024","356,729","356,729","356,729","356,729","15.73M","-1.11%"
"06/07/2024","360,751","360,751","360,751","360,751","28.03M","0.16%"
"06/03/2024","360,164","360,164","360,164","360,164","12.91M","-0.24%"
"05/31/2024","361,024","361,024","361,024","361,024","24.17M","1.14%"
"05/30/2024","356,956","356,956","356,956","356,956","13.72M","0.04%"
"05/29/2024","356,830","356,830","356,830","356,830","7.65M","-0.37%"
"05/28/2024","358,162","358,162","358,162","358,162","16.78M","1.02%"
"05/27/2024","354,558","354,558","354,558","354,558","5.07M","0.04%"
"05/24/2024","354,409","354,409","354,409","354,409","14.11M","0.09%"
"05/22/2024","354,076","354,076","354,076","354,076","7.04M","-0.95%"
"05/21/2024","357,487","357,487","357,487","357,487","10.76M","-0.10%"
"05/20/2024","357,848","357,848","357,848","357,848","7.43M","-0.15%"
"05/17/2024","358,400","358,400","358,400","358,400","26.80M","0.36%"
"05/16/2024","357,118","357,118","357,118","357,118","6.13M","0.06%"
"05/15/2024","356,887","356,887","356,887","356,887","12.15M","1.15%"
"05/14/2024","352,843","352,843","352,843","352,843","30.05M","-1.02%"
"05/13/2024","356,496","356,496","356,496","356,496","176.76M","0.08%"
"05/10/2024","356,197","356,197","356,197","356,197","16.07M","-0.18%"
"05/09/2024","356,821","356,821","356,821","356,821","6.23M","-0.28%"
"05/08/2024","357,812","357,812","357,812","357,812","5.99M","0.30%"
"05/07/2024","356,728","356,728","356,728","356,728","8.10M","-0.52%"
"05/06/2024","358,584","358,584","358,584","358,584","10.87M","0.14%"
"05/03/2024","358,098","358,098","358,098","358,098","4.30M","-0.81%"
"05/02/2024","361,032","361,032","361,032","361,032","10.88M","1.55%"
"04/26/2024","355,523","355,523","355,523","355,523","49.30M","-0.17%"
"04/25/2024","356,115","356,115","356,115","356,115","14.51M","0.90%"
"04/24/2024","352,936","352,936","352,936","352,936","13.20M","-0.27%"
"04/23/2024","353,903","353,903","353,903","353,903","12.99M","-0.68%"
"04/22/2024","356,312","356,312","356,312","356,312","35.45M","-0.71%"
"04/19/2024","358,878","358,878","358,878","358,878","4.62M","-0.93%"
"04/18/2024","362,251","362,251","362,251","362,251","8.61M","0.56%"
"04/17/2024","360,221","360,221","360,221","360,221","7.08M","-0.50%"
"04/16/2024","362,016","362,016","362,016","362,016","8.32M","-1.21%"
"04/15/2024","366,436","366,436","366,436","366,436","6.07M","-0.02%"
"04/12/2024","366,501","366,501","366,501","366,501","10.92M","-0.30%"
"04/11/2024","367,604","367,604","367,604","367,604","16.09M","-0.01%"
"04/10/2024","367,650","367,650","367,650","367,650","8.77M","0.31%"
"04/09/2024","366,510","366,510","366,510","366,510","10.15M","-0.21%"
"04/08/2024","367,298","367,298","367,298","367,298","12.13M","0.59%"
"04/05/2024","365,158","365,158","365,158","365,158","25.07M","-0.56%"
"04/04/2024","367,225","367,225","367,225","367,225","551.58M","0.44%"
"04/03/2024","365,600","365,600","365,600","365,600","26.65M","-0.52%"
"04/02/2024","367,500","367,500","367,500","367,500","11.72M","-0.29%"
"03/28/2024","368,584","368,584","368,584","368,584","15.71M","0.62%"
"03/27/2024","366,309","366,309","366,309","366,309","8.09M","-0.60%"
"03/26/2024","368,520","368,520","368,520","368,520","13.80M","1.36%"
"03/25/2024","363,560","363,560","363,560","363,560","25.76M","-1.29%"
"03/22/2024","368,311","368,311","368,311","368,311","9.36M","0.54%"
"03/21/2024","366,350","366,350","366,350","366,350","25.38M","-0.22%"
"03/20/2024","367,154","367,154","367,154","367,154","11.90M","0.28%"
"03/19/2024","366,116","366,116","366,116","366,116","22.74M","-0.91%"
"03/18/2024","369,462","369,462","369,462","369,462","20.59M","0.45%"
"03/15/2024","367,797","367,797","367,797","367,797","20.60M","0.34%"
"03/14/2024","366,543","366,543","366,543","366,543","23.57M","0.09%"
"03/13/2024","366,212","366,212","366,212","366,212","19.43M","-1.19%"
"03/12/2024","370,635","370,635","370,635","370,635","32.55M","1.00%"
"03/11/2024","366,964","366,964","366,964","366,964","30.72M","-1.47%"
"03/08/2024","372,435","372,435","372,435","372,435","24.18M","0.51%"
"03/07/2024","370,561","370,561","370,561","370,561","566.91M","-1.49%"
"03/06/2024","376,175","376,175","376,175","376,175","69.86M","-0.14%"
"03/05/2024","376,684","376,684","376,684","376,684","9.95M","-0.25%"
"03/04/2024","377,614","377,614","377,614","377,614","15.09M","0.33%"
"03/01/2024","376,388","376,388","376,388","376,388","20.79M","-0.07%"
"02/29/2024","376,633","376,633","376,633","376,633","25.47M","0.40%"
"02/28/2024","375,147","375,147","375,147","375,147","39.12M","0.69%"
"02/27/2024","372,563","372,563","372,563","372,563","18.14M","-1.21%"
"02/26/2024","377,145","377,145","377,145","377,145","42.92M","1.20%"
"02/23/2024","372,664","372,664","372,664","372,664","10.77M","-0.16%"
"02/22/2024","373,257","373,257","373,257","373,257","25.11M","0.36%"
"02/21/2024","371,935","371,935","371,935","371,935","33.67M","-0.97%"
"02/20/2024","375,595","375,595","375,595","375,595","44.52M","1.15%"
"02/19/2024","371,323","371,323","371,323","371,323","24.96M","-0.52%"
"02/16/2024","373,276","373,276","373,276","373,276","9.16M","0.35%"
"02/15/2024","371,982","371,982","371,982","371,982","38.56M","0.31%"
"02/13/2024","370,839","370,839","370,839","370,839","12.77M","10.77%"
"02/12/2024","334,783","334,783","334,783","334,783","35.57M","-0.14%"
"02/09/2024","335,251","335,251","335,251","335,251","15.12M","0.66%"
"02/08/2024","333,056","333,056","333,056","333,056","10.67M","-0.41%"
"02/07/2024","334,434","334,434","334,434","334,434","6.04M","0.04%"
"02/06/2024","334,296","334,296","334,296","334,296","15.57M","0.28%"
"02/05/2024","333,378","333,378","333,378","333,378","11.36M","1.23%"
"02/02/2024","329,341","329,341","329,341","329,341","11.52M","0.26%"
"01/31/2024","328,475","328,475","328,475","328,475","21.83M","1.15%"
"01/30/2024","324,725","324,725","324,725","324,725","16.92M","-0.38%"
"01/29/2024","325,956","325,956","325,956","325,956","29.60M","0.83%"
"01/26/2024","323,275","323,275","323,275","323,275","9.37M","0.48%"
"01/25/2024","321,726","321,726","321,726","321,726","20.84M","0.11%"
"01/19/2024","321,376","321,376","321,376","321,376","7.61M","-0.22%"
"01/18/2024","322,099","322,099","322,099","322,099","9.95M","-0.30%"
"01/17/2024","323,070","323,070","323,070","323,070","17.30M","0.07%"
"01/16/2024","322,833","322,833","322,833","322,833","7.62M","0.46%"
"01/15/2024","321,365","321,365","321,365","321,365","15.89M","-0.27%"
"01/12/2024","322,239","322,239","322,239","322,239","19.34M","0.94%"
"01/11/2024","319,223","319,223","319,223","319,223","16.80M","-0.41%"
"01/10/2024","320,530","320,530","320,530","320,530","12.51M","-0.85%"
"01/09/2024","323,288","323,288","323,288","323,288","5.42M","0.17%"
"01/08/2024","322,734","322,734","322,734","322,734","11.53M","0.01%"
"01/05/2024","322,698","322,698","322,698","322,698","10.95M","-0.33%"
"01/04/2024","323,759","323,759","323,759","323,759","6.74M","2.20%"
"12/22/2023","316,799","316,799","316,799","316,799","24.41M","0.26%"
"12/21/2023","315,986","315,986","315,986","315,986","7.40M","0.23%"
"12/20/2023","315,262","315,262","315,262","315,262","4.00M","0.67%"
"12/19/2023","313,170","313,170","313,170","313,170","17.43M","-0.01%"
"12/18/2023","313,186","313,186","313,186","313,186","7.17M","0.60%"
"12/15/2023","311,317","311,317","311,317","311,317","5.32M","-0.13%"
"12/14/2023","311,709","311,709","311,709","311,709","2.80M","0.24%"
"12/13/2023","310,954","310,954","310,954","310,954","6.46M","-0.06%"
"12/12/2023","311,127","311,127","311,127","311,127","6.43M","0.15%"
"12/11/2023","310,650","310,650","310,650","310,650","6.69M","-0.50%"
"12/08/2023","312,200","312,200","312,200","312,200","5.87M","1.01%"
"12/07/2023","309,072","309,072","309,072","309,072","12.32M","-0.97%"
"12/06/2023","312,106","312,106","312,106","312,106","7.75M","0.36%"
"12/05/2023","310,989","310,989","310,989","310,989","13.02M","-1.32%"
"12/04/2023","315,143","315,143","315,143","315,143","5.64M","-0.17%"
"12/01/2023","315,669","315,669","315,669","315,669","6.38M","0.17%"
"11/30/2023","315,148","315,148","315,148","315,148","16.74M","0.63%"
"11/29/2023","313,165","313,165","313,165","313,165","9.98M","0.30%"
"11/28/2023","312,226","312,226","312,226","312,226","5.13M","-1.09%"
"11/27/2023","315,680","315,680","315,680","315,680","6.63M","-0.07%"
"11/24/2023","315,890","315,890","315,890","315,890","11.46M","0.34%"
"11/23/2023","314,817","314,817","314,817","314,817","12.87M","1.41%"
"11/22/2023","310,441","310,441","310,441","310,441","54.39M","-0.80%"
"11/21/2023","312,932","312,932","312,932","312,932","4.54M","0.15%"
"11/20/2023","312,449","312,449","312,449","312,449","5.87M","-0.70%"
"11/17/2023","314,658","314,658","314,658","314,658","8.25M","-0.20%"
"11/16/2023","315,274","315,274","315,274","315,274","9.05M","0.11%"
"11/15/2023","314,939","314,939","314,939","314,939","7.78M","0.02%"
"11/14/2023","314,881","314,881","314,881","314,881","106.71M","-0.27%"
"11/13/2023","315,733","315,733","315,733","315,733","6.35M","0.23%"
"11/10/2023","314,999","314,999","314,999","314,999","11.40M","0.46%"
"11/09/2023","313,565","313,565","313,565","313,565","7.52M","-0.17%"
"11/08/2023","314,087","314,087","314,087","314,087","12.29M","0.71%"
"11/07/2023","311,867","311,867","311,867","311,867","17.11M","0.38%"
"11/06/2023","310,695","310,695","310,695","310,695","4.98M","-0.69%"
"11/03/2023","312,867","312,867","312,867","312,867","4.09M","-0.96%"
"11/02/2023","315,906","315,906","315,906","315,906","5.60M","0.39%"
"11/01/2023","314,690","314,690","314,690","314,690","8.32M","-1.29%"
"10/31/2023","318,788","318,788","318,788","318,788","7.47M","1.56%"
"10/30/2023","313,887","313,887","313,887","313,887","5.76M","-0.48%"
"10/27/2023","315,399","315,399","315,399","315,399","5.45M","1.15%"
"10/26/2023","311,810","311,810","311,810","311,810","8.56M","-0.55%"
"10/25/2023","313,538","313,538","313,538","313,538","13.46M","-0.17%"
"10/24/2023","314,062","314,062","314,062","314,062","7.19M","0.78%"
"10/23/2023","311,636","311,636","311,636","311,636","5.65M","0.04%"
"10/20/2023","311,500","311,500","311,500","311,500","2.90M","-1.24%"
"10/19/2023","315,398","315,398","315,398","315,398","6.37M","0.95%"
"10/18/2023","312,443","312,443","312,443","312,443","4.06M","-0.88%"
"10/17/2023","315,226","315,226","315,226","315,226","14.14M","0.11%"
"10/13/2023","314,885","314,885","314,885","314,885","10.58M","0.07%"
"10/12/2023","314,672","314,672","314,672","314,672","29.13M","0.86%"
"10/11/2023","311,981","311,981","311,981","311,981","55.45M","-0.88%"
"10/10/2023","314,750","314,750","314,750","314,750","8.30M","-0.40%"
"10/09/2023","316,012","316,012","316,012","316,012","8.77M","0.33%"
"10/06/2023","314,986","314,986","314,986","314,986","6.89M","-0.41%"
"10/05/2023","316,268","316,268","316,268","316,268","7.24M","-1.46%"
"10/04/2023","320,949","320,949","320,949","320,949","21.24M","-0.72%"
"10/03/2023","323,280","323,280","323,280","323,280","8.08M","-0.24%"
"10/02/2023","324,072","324,072","324,072","324,072","10.32M","-0.91%"
"09/29/2023","327,042","327,042","327,042","327,042","22.18M","2.09%"
"09/28/2023","320,348","320,348","320,348","320,348","13.64M","-0.75%"
"09/27/2023","322,777","322,777","322,777","322,777","45.69M","2.02%"
"09/26/2023","316,392","316,392","316,392","316,392","6.41M","0.19%"
"09/25/2023","315,805","315,805","315,805","315,805","14.06M","1.13%"
"09/22/2023","312,277","312,277","312,277","312,277","3.87M","0.28%"
"09/21/2023","311,401","311,401","311,401","311,401","6.61M","-0.14%"
"09/20/2023","311,846","311,846","311,846","311,846","4.91M","-0.51%"
"09/19/2023","313,449","313,449","313,449","313,449","4.07M","-0.67%"
"09/18/2023","315,576","315,576","315,576","315,576","8.29M","0.39%"
"09/15/2023","314,347","314,347","314,347","314,347","5.47M","-0.58%"
"09/14/2023","316,175","316,175","316,175","316,175","50.80M","0.04%"
"09/13/2023","316,046","316,046","316,046","316,046","5.49M","-0.40%"
"09/12/2023","317,310","317,310","317,310","317,310","5.37M","-0.17%"
"09/11/2023","317,837","317,837","317,837","317,837","9.16M","-0.79%"
"09/08/2023","320,354","320,354","320,354","320,354","5.26M","0.57%"
"09/07/2023","318,534","318,534","318,534","318,534","10.62M","-0.22%"
"09/06/2023","319,241","319,241","319,241","319,241","11.78M","-0.78%"
"09/05/2023","321,764","321,764","321,764","321,764","3.72M","-0.60%"
